property_name,room_id,stay_duration_in_days,booking_window,distance_to_coastline,lat,review_sentiment_score,lng,rating,average_daily_rate
Rumah Taman Kutuh Guesthouse,434892,1,2,1610.2500326115114,-8.4890655,0.0462747658052089,115.2673239,3.0,360095.84
Rumah Taman Kutuh Guesthouse,397715,1,2,1610.2500326115114,-8.4890655,0.0462747658052089,115.2673239,3.0,360095.84
Uttara by Stay Habitat,381223,4,71,14398.361800512794,-7.7584523,0.995877,110.3804561,4.0,760141.135
Uttara by Stay Habitat,381225,4,71,14398.361800512794,-7.7584523,0.995877,110.3804561,4.0,760141.135
Villa Kanha,399313,4,2,2033.49,-8.800425,0.766751,115.147582,5.0,1025207.515
Uluwatu Kayana Bungalows,397692,5,1,452.564,-8.837085,0.0200031137526401,115.100357,3.0,452091.346
Villa Olel,397743,14,2,605.1489685046545,-8.759145606103623,0.98251,115.14808981793662,5.0,2889692.975714
Villa Olel,397697,14,2,605.1489685046545,-8.759145606103623,0.98251,115.14808981793662,5.0,2889692.975714
Villa Olel,397696,14,2,605.1489685046545,-8.759145606103623,0.98251,115.14808981793662,5.0,2889692.975714
Villa Olel,397695,14,2,1657.1989350991498,-8.736775201903686,0.98251,114.99062235668929,5.0,2889692.975714
Villa Blu Apsara,396442,7,32,2041.98,-8.830237,-0.4315122014186965,115.167079,2.0,1656323.744286
Merta Beach Bungalow,393194,4,5,26.7774,-8.67666,0.965468,115.514889,4.0,470062.035
Merta Beach Bungalow,441730,4,5,26.7774,-8.67666,0.965468,115.514889,4.0,470062.035
Merta Beach Bungalow,424242,4,5,26.7774,-8.67666,0.965468,115.514889,4.0,470062.035
Yoga Searcher,399316,3,22,978.0894837679224,-8.742025659986927,0.900464,115.05576868551942,5.0,1680818.96
Raja Surga Ubud,399837,3,10,1753.3108805720403,-8.4584881,0.884481882085689,115.280513,5.0,500115.5
Maharaja Residence Homestay,396431,1,13,2653.12,-8.824442,0.6956198169066115,115.163821,5.0,1620298.62
Song Cang Bungalow,393196,2,7,36.55638981054653,-8.6965183,-0.896449,115.5792547,1.0,320063.455
Poling Sea View,411604,1,0,189.9500423484424,-8.6768119,0.959728,115.566473,5.0,333406.19
Poling Sea View,411609,1,0,189.9500423484424,-8.6768119,0.959728,115.566473,5.0,333406.19
Poling Sea View,393195,1,0,189.9500423484424,-8.6768119,0.959728,115.566473,5.0,333406.19
Buyuk Pillas Bungalow,393187,1,1,241.6246846759459,-8.675,0.94274,115.5445613,5.0,210050.15
Buyuk Pillas Bungalow,416992,1,1,241.6246846759459,-8.675,0.94274,115.5445613,5.0,210050.15
Buyuk Pillas Bungalow,391676,1,1,241.6246846759459,-8.675,0.94274,115.5445613,5.0,210050.15
Omah JeTeHa,387376,3,1,2817.672193178296,-8.707341787193556,0.8542984017069504,114.83917017410792,5.0,1260268.333333
Ndalem Panembahan,381230,2,26,14151.67192715485,-7.8064016,0.9,110.3657658,5.0,2780559.5
Ndalem Panembahan,378264,2,26,14151.67192715485,-7.8064016,0.9,110.3657658,5.0,2780559.5
Roemah Noni,387366,2,1,3554.6863191749144,-8.6716501258607,0.9,114.65321604803827,5.0,1000200.005
Griya Wirosaban,378261,1,0,15488.18576427747,-7.8317661,0.9,110.3806358,5.0,963192.6
